,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
478285,58ivxJSccwundFnvKKgXdf,Quiero Verte Más,47,251707,0,['Francisca Valenzuela'],['2piHiUbXwUNNIvYyIOIUKt'],2011-08-09,0.62,0.612,0,-5.327999999999999,1,0.31,0.256,4.68e-06,0.1,0.721,184.981,4
478361,6hF8aBjtNgUNNv1aDYLLsZ,Los Zapatos de Papá,37,114227,0,['Mazapán'],['7rcYk7wXrIQYA2qBccfscc'],2011,0.764,0.687,7,-14.203,1,0.309,0.733,6.2e-05,0.0567,0.9209999999999999,163.135,5
478379,73SoBT5LiTDpaUlSZYGH3h,4 Life,35,172293,1,['Liricistas'],['6Auet21YaPDui2ManqgAFc'],2011-06-09,0.68,0.726,0,-6.404,1,0.499,0.094,0.0,0.0533,0.875,178.045,4
478455,02KaWcg6OPXuQD1w7FrgoG,Rebeldía Poblacional,37,209173,1,['Salvaje Decibel'],['3a6xRggiZz6O1Zvmg8RJfV'],2012-06-01,0.607,0.606,7,-12.385,1,0.307,0.0556,0.0,0.0828,0.856,200.21599999999998,4
478456,0FL79AFj0JmHEGSIPYFyJo,Pilsen Helada,36,185809,0,['Sepamoya'],['2dK7lV2dmrsnMflpwJRPyT'],2012-04-15,0.513,0.977,7,-2.863,1,0.218,0.191,0.0,0.308,0.634,179.93400000000003,4
478460,1XhQWU3bOBlNYHJ9RYt6ak,Sigue Viajando,44,193881,1,['Ñengo Flow'],['12vb80Km0Ew53ABfJOepVz'],2012-01-03,0.799,0.804,1,-6.263,1,0.307,0.0102,0.0,0.0526,0.8590000000000001,169.89,4
478514,3Omx1tugYI03ULA1zcLCj6,Canto a la Rebelión,49,278234,0,['Ska-P'],['2fiiGUBgPsIKDCE0bTthnl'],2013-03-05,0.638,0.919,2,-3.009,1,0.068,0.0406,0.0,0.16,0.937,164.08,4
478516,5zdDCwAx4VXDug9QBDVhql,Caballo de patas blancas,39,208653,0,['Eliseo Guevara'],['2elfE5Hl1JQzfrtGNolVEI'],2013-08-26,0.507,0.604,5,-6.181,1,0.0448,0.34600000000000003,0.0,0.0687,0.759,180.88400000000001,3
478560,4XKGdWiVWYQmnfWwYhcIQH,Quiero Confesarte,48,154560,0,['Amar Azul'],['04TVfWdJWbfH0FOT2zA1Tg'],2014-04-25,0.6559999999999999,0.677,0,-6.197,1,0.21600000000000003,0.306,0.000279,0.0592,0.932,201.636,4
478572,6789DSxcGWdP38aiJ9iHZe,El Segundo Polvito,46,166773,0,['Amar Azul'],['04TVfWdJWbfH0FOT2zA1Tg'],2014-04-25,0.6829999999999999,0.597,0,-6.4079999999999995,1,0.19699999999999998,0.215,2.76e-06,0.336,0.9670000000000001,201.854,4
478574,3hG37SKeyZaTNQbqmNIzSP,Un Licor y una Cerveza,46,174227,0,['Amar Azul'],['04TVfWdJWbfH0FOT2zA1Tg'],2014-04-25,0.652,0.6579999999999999,7,-5.968999999999999,1,0.222,0.25,0.0,0.0652,0.845,202.00400000000002,4
478595,7Ke2pX91o8sYw220ZY0whv,Somos Sur,47,226923,0,"['Ana Tijoux', 'Shadia Mansour']","['40JMTpVRUw90SrN4pFA6Mz', '3PaRWHJX1nnmN4kffMGm93']",2014-04-15,0.6459999999999999,0.826,1,-6.9510000000000005,1,0.213,0.0666,0.000741,0.11,0.684,179.99599999999998,4
478658,3BXJLpI9AdeZ6SfNC6YoUa,Zapatito Roto (feat. Tego Calderon),43,246784,0,"['Plan B', 'Tego Calderon']","['2jSGzJw0ebJLu7OLVSOcBP', '3SUT1jjM5hzZj9TLfLZGIP']",2014-09-09,0.782,0.763,2,-5.059,1,0.348,0.0421,0.0,0.0869,0.614,190.019,4
478665,0uoOrCRbNOj0vVVEp18q16,Quitate la Ropa (Remix) [feat. Juanka],51,224418,1,"['Sammy & Falsetto', 'Juanka']","['6AT27ojKlBuZToFIGwQZDc', '3Wb38LDP3N4tkobValgE9D']",2015-11-06,0.619,0.89,1,-1.901,1,0.0722,0.0836,8.34e-06,0.37799999999999995,0.7190000000000001,175.928,4
478682,0Ey0w4G92oD8BY8kjRHy2u,Junto a Ti,44,201000,0,"['Manes del asis', 'Elemental Raggamuffin', 'Mc Browen']","['03pslrsE2SmHAMez3wEbfl', '59QBqfoCL1LttP0x9MWLph', '6TqpZmrsU09IaJtq76fCgZ']",2015-06-20,0.628,0.715,10,-5.478,1,0.0546,0.264,0.0,0.0776,0.7440000000000001,171.851,4
478688,4ZAramVJsnm2aIk9RAg11N,Son Pololos - La Corchetis,46,194381,0,['31 Minutos'],['1EgVsKobLzbNgILxx9wrVG'],2015-09-04,0.5720000000000001,0.504,9,-4.874,1,0.0516,0.483,0.0,0.168,0.698,198.90599999999998,3
478717,0GUvojfIN4I2wPN3IuRQnk,Lealtad,40,271960,0,"['Bronko Yotte', 'Gepe', 'Emaflu', 'Martín Berríos']","['6l78ydrIl7eG2kPTwGXaz7', '1fHGzTSloWCtrlKfbLNVhM', '5PS09CXdU7Lze7eAk2z3Yy', '62JNBPNZFmLdvxNpQNBg7u']",2015-11-24,0.758,0.531,4,-7.669,1,0.0573,0.0772,0.102,0.10300000000000001,0.8390000000000001,167.96099999999998,4
478733,36Q9AdhKAjPhKqNvDNLAAW,Bajo Efecto,38,262000,1,"['Manes del asis', 'Elemental Raggamuffin', 'Mc Browen']","['03pslrsE2SmHAMez3wEbfl', '59QBqfoCL1LttP0x9MWLph', '6TqpZmrsU09IaJtq76fCgZ']",2015-06-20,0.682,0.684,5,-6.382999999999999,1,0.289,0.5,1.05e-06,0.193,0.884,171.915,4
478743,6DY4OL7EupAdKAR07w6CK4,Hacerlo de Día,54,228867,0,['Moral Distraida'],['4IdI1p8OrVpot6dbdCl3wv'],2016-07-27,0.5770000000000001,0.9309999999999999,9,-3.103,1,0.102,0.259,0.0,0.0691,0.762,179.93900000000002,4
