,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
541106,5BAE5QsyYEGslaTWGeejDJ,Gli eroi del West (seq. 10),2.0,['Gianni Ferrio'],1963,0.358,0.0575,-21.945,1.0,0.0427,0.93,0.157,75.752
541146,4E1N4QnHRiteVtm45tE9ht,Drifting Sampan,10.0,['Arthur Lyman'],1965,0.512,0.0914,-25.36,1.0,0.0401,0.836,0.0985,79.862
541172,3UhlAlVnXSWm9v09PcsOMS,20. Death to the invader,1.0,"['Arthur Sullivan', 'Valerie Masterson', ""The D'Oyly Carte Opera Chorus"", 'Royal Philharmonic Orchestra', 'Sir Malcolm Sargent']",1965-01-01,0.302,0.0741,-18.173,1.0,0.047,0.95,0.215,70.453
541176,29hO8xDW8b42X0d7A7JQLz,"La forza del destino (Remastered): Act II: Scene 2: Son giunta! Grazie, o Dio!",13.0,"['Giuseppe Verdi', 'Thomas Schippers']",1965,0.402,0.113,-16.648,1.0,0.0657,0.9590000000000001,0.0807,83.255
541525,5oqSrAXFOENLaDCeZJZzmO,Pēperkoks,1.0,['Margarita Vilcāne'],1977-01-01,0.493,0.0745,-17.136,0.0,0.0445,0.953,0.147,115.579
541603,2Gz4vO5Nb844Z8ZGmqZy7J,"In ""D""",25.0,['The Durutti Column'],1979-01-01,0.396,0.0423,-22.703000000000003,1.0,0.0515,0.9470000000000001,0.159,91.70700000000001
541730,4aU2MvXcl5ErCsZVXPb2lk,Giselle: Andantino,34.0,"['Adolphe Adam', 'London Symphony Orchestra', 'Michael Tilson Thomas']",1987,0.297,0.0364,-27.535,1.0,0.0409,0.9279999999999999,0.253,117.45100000000001
541732,7Hj034FmnWLlYkl3nfdHZq,Promise (The Cult Of Eurydice),25.0,['David Sylvian'],1987-11-07,0.532,0.0581,-19.246,1.0,0.055,0.823,0.105,119.789
541785,1ECw2ZWxgxmOBLGskBjm73,Emmanuel,23.0,['Will Ackerman'],1990-01-01,0.435,0.0469,-22.269000000000002,0.0,0.0503,0.919,0.172,78.726
542674,744GQe1h2ilDtUrE71STiO,"Vec, pelīt, velc",16.0,"['Kārlis Kazāks', 'Līga Priede', 'Kaspars Tobis']",2008-02-07,0.496,0.1,-19.031,1.0,0.0452,0.958,0.0796,120.085
543436,75T0B8uhy6oi2v1RlJXIjA,Where Or When,4.0,['Julie London'],1956-01-01,0.40700000000000003,0.044000000000000004,-21.843000000000004,0.0,0.0431,0.9620000000000001,0.139,117.236
543462,4iuTM3440q0RnAUEeMbGre,Sweet And Lovely,5.0,"['Les Paul', 'Mary Ford']",1957-01-01,0.555,0.107,-14.427,1.0,0.0547,0.937,0.204,78.585
543466,6gNMLAwOZOb8DzvzmedQ8W,My Silent Love,5.0,"['Les Paul', 'Mary Ford']",1957-01-01,0.424,0.0848,-15.984000000000002,1.0,0.0506,0.831,0.141,73.994
543561,6sudoHswYiu8YHRlhKhyJ6,Flamenco Sketches - alternate take,7.0,['Miles Davis'],1959-08-18,0.467,0.0438,-17.101,0.0,0.0433,0.9079999999999999,0.22699999999999998,121.318
543827,2PaZgSqUUgWxNMsvTtKbSp,Confession,10.0,['Shirley Horn'],1965,0.434,0.0904,-19.102999999999998,1.0,0.0407,0.9620000000000001,0.23399999999999999,144.751
543892,0o0hf0nW8v9N75dWVwgLaE,Nabucco / Act 4: Son pur queste mie membra,3.0,"['Giuseppe Verdi', 'Tito Gobbi', 'Vienna State Opera Chorus', 'Vienna State Opera Orchestra', 'Lamberto Gardelli']",1965-01-01,0.29100000000000004,0.0761,-18.688,0.0,0.0419,0.9670000000000001,0.0616,92.75299999999999
544342,54AJDvSCBOm2LX5XTLQgAm,"Haydn: Symphony No. 94 in G Major, Hob. I:94 ""Surprise"": II. Andante",22.0,"['Franz Joseph Haydn', 'André Previn', 'Pittsburgh Symphony Orchestra']",1980-01-01,0.396,0.0248,-19.359,1.0,0.0405,0.9590000000000001,0.18,108.227
544565,149QwFCTJdkn3cWQkmDnZY,The Little Drummer Boy - 1965 Version,23.0,['Harry Simeone Chorale'],1989-08-29,0.434,0.0905,-21.061,1.0,0.0407,0.968,0.152,113.561
544622,0ABpTOvkzGxg0q3vLUUVt7,Light as a Feather,21.0,['Steven Halpern'],1992-07-07,0.391,0.11900000000000001,-19.487000000000002,1.0,0.0612,0.968,0.0581,133.42600000000002
544718,5mnGobHKyPFloptqyM8i1o,Lullaby,33.0,['Peter White'],1996-07-23,0.547,0.0885,-18.252,1.0,0.0556,0.966,0.19,79.236
544855,0GiAxn6XdeAnfbFz1XKesJ,Raua Needmine,8.0,"['Veljo Tormis', 'Mati Turi', 'Allan Vurma', 'Toivo Kivi', 'Tõnu Kaljuste', 'Estonian Philharmonic Chamber Choir']",1999-09-17,0.281,0.11599999999999999,-24.355,1.0,0.0677,0.899,0.0998,86.552
545071,3wr4zkOofOc5rGjo9x7LFA,Luhal,9.0,['Liisi Koikson'],2005-03-16,0.552,0.0372,-15.24,1.0,0.0423,0.9420000000000001,0.18600000000000003,121.537
545079,68rV68RBJ7EiKzzcsTBU6m,Ainult Sina Võid Mu Maailma Muuta - Live,26.0,['Terminaator'],2006-12-20,0.44299999999999995,0.0884,-17.090999999999998,0.0,0.0412,0.91,0.13,118.09299999999999
