,id,name,popularity,artists,release_date,danceability,energy,loudness,mode,speechiness,acousticness,valence,tempo
418708,4gyoHcJU0TJMGNx1f79WoN,De Ce Plang Chitarele,36.0,['O-Zone'],2004-06-06,0.746,0.917,-4.776,0.0,0.0309,0.0139,0.966,130.005
418741,4cokexqCMbr5cPTYe5uGhg,Pentru Dragoste,21.0,['Class'],2004-07-14,0.833,0.9209999999999999,-4.021,0.0,0.0405,0.259,0.982,124.95100000000001
418754,4czrUMSgxNtFqn62txDndd,Vreau Sa-Mi Impart Viata Cu Tine (Live) / I Wanna Share My Life With You (Live),22.0,['Florin Salam'],2004,0.76,0.985,-4.407,0.0,0.0395,0.316,0.92,141.873
419031,48SXVUHKS49hmuTla3Otu4,Nunta,32.0,"['Nicolae Guta', 'Sorina']",2007,0.882,0.9009999999999999,-3.2680000000000002,0.0,0.0732,0.163,0.968,135.029
419051,3Owsj2WQlaQnVgUlBhNA94,Viata Asta Fara Tine (My Life Without You),23.0,['Catalin de la Buzau'],2007-08-20,0.83,0.9109999999999999,-3.839,1.0,0.0718,0.183,0.9440000000000001,132.045
419166,2Q26HnwQzQF5rkHKfwBNvc,Rumadai - Reedit 2016,42.0,['Arsenium'],2008,0.713,0.93,-4.317,1.0,0.0353,0.11199999999999999,0.925,138.029
419261,7okVJQXHdYmgGMXN5RUhWX,90 Sec. De Viață,19.0,['Spike'],2009-07-31,0.78,0.922,-2.8089999999999997,1.0,0.33,0.179,0.94,95.46700000000001
419480,2b7N170Kcg7f7xpCAossfE,Un Milion De Bulgaroaice,25.0,['Liviu Guta'],2011-02-03,0.804,0.946,-2.081,1.0,0.11199999999999999,0.165,0.982,169.00599999999997
419494,6EHlhVLXuKuiGZZWibyeYi,Femei Si Manele,24.0,['Cristi Dules'],2011-03-30,0.805,0.9009999999999999,-4.89,1.0,0.0526,0.198,0.938,122.969
419514,7rBfMQLGr0AT4K4hwKYczJ,Ring the Alarm - Radio Edit,23.0,['Connect-R'],2011-03-13,0.78,0.9279999999999999,-3.054,0.0,0.0542,0.032,0.943,127.00200000000001
419538,0oqh6BOcAvk9YSjFErxitT,Vreau Sa-Mi Fac Statuie,33.0,"['Sorinel Pustiu', 'Mihaita Piticu']",2012-06-20,0.823,0.935,-4.6930000000000005,0.0,0.0545,0.135,0.9840000000000001,152.01
419540,4wBaxoKtLu6rnpndQti6FD,Stinge Lumina,31.0,['Ruby'],2012-06-22,0.7929999999999999,0.929,-3.6039999999999996,0.0,0.0732,0.073,0.925,100.029
419572,3PtC4c1n7cjneGg8QrWIoo,Akcent - I'm Sorry (Radio Edit),41.0,['Akcent'],2012-02-02,0.754,0.9229999999999999,-3.4219999999999997,0.0,0.0332,0.0223,0.903,127.995
419635,0k1LLoFRqff7lPtcRqX9pa,"Baterie, Baterie, Foc",35.0,['Nicolae Guta'],2013-12-02,0.815,0.9440000000000001,-4.927,0.0,0.10400000000000001,0.191,0.95,95.00200000000001
419665,4YCG31cMj89YKEAbWpXfGf,"Pune, Pune, Pune",32.0,['Florin Salam'],2013-03-16,0.7879999999999999,0.9570000000000001,-2.285,0.0,0.0602,0.0407,0.98,155.232
419732,3cy5ql66XnXkAmoHfl5fD1,Mia Mia MI Amor,43.0,['Florin Salam'],2014-04-05,0.746,0.9329999999999999,-3.259,0.0,0.0331,0.0703,0.976,159.928
419741,3Xqz7kN6fj2iROrX8x271X,Striga Cu Mine,36.0,"['Vali Vijelie', 'Petrica Cercel']",2014-07-09,0.727,0.9059999999999999,-4.582,0.0,0.0445,0.0861,0.982,168.01
419811,0Gukhh8zERNPEWcvWePxqr,Adio Plictiseala,25.0,['Nicolae Guta'],2014-05-20,0.81,0.924,-2.4819999999999998,0.0,0.0866,0.0219,0.978,163.983
419830,6i8fMxAUJjjfqoDie9zPEc,Striga Cu Mine (feat. Petrica Cercel),24.0,"['Vali Vijelie', 'Petrica Cercel']",2014-09-13,0.728,0.9079999999999999,-4.539,0.0,0.0441,0.0787,0.98,167.968
419837,0J56AzG6SlORNS9tA5mMF5,Bautura Si Manele,43.0,['Cristi Dules'],2015-05-18,0.7340000000000001,0.9159999999999999,-3.4730000000000003,1.0,0.0447,0.0419,0.914,94.03200000000001
419868,4mDSSL0Z4TU30bJWeXEnES,Pierdut Buletin,33.0,"['DOC', 'Motzu', 'Smiley']",2015-12-03,0.762,0.943,-1.84,0.0,0.0543,0.0517,0.963,140.13299999999998
419880,0HPnz5mZSWvUPklOWhJ0lt,Adio Plictiseala,33.0,['Nicolae Guta'],2015-06-25,0.805,0.9129999999999999,-2.592,0.0,0.0852,0.0219,0.978,163.919
419886,19oTbcN3eeVMxzBdKIa0ki,Kana Jambe,33.0,['Bogdan Artistu'],2015-07-14,0.8420000000000001,0.963,-3.955,0.0,0.0488,0.10400000000000001,0.9790000000000001,150.024
419929,1S1oyr9WMnxJkv9e8YPQDd,Mor De Ochii Tai,28.0,['Florin Salam'],2015-05-22,0.7020000000000001,0.915,-4.352,1.0,0.0388,0.315,0.977,159.93
419977,6hFAGvYR9lD7xYvY04kORp,Don't Be so Shy - Filatov & Karas Remix,30.0,['Imany'],2016-01-25,0.737,0.9540000000000001,-2.9360000000000004,0.0,0.05,0.034,0.904,119.979
420139,6VLptZxeJJkqB7OD1EfYEC,Kana Jambe,32.0,['Bogdan Artistu'],2017-09-15,0.85,0.958,-4.176,0.0,0.0522,0.109,0.977,150.026
420289,0BpSpSsxlV4lUDZrtfScer,Mare Petrecere,41.0,"['Vali Vijelie', ""Liviu Pustiu'""]",2019-09-06,0.823,0.956,-3.696,0.0,0.0556,0.15,0.971,140.002
420304,0otjamQr6qKFveI1YxzbmJ,M-Am Nascut Sa Fiu Fenomenal,39.0,['Alin DImantul'],2019-08-18,0.708,0.9109999999999999,-4.228,0.0,0.0413,0.0838,0.981,152.049
420416,04m07biw1eyk3cD31eAZ84,Ne-Ar Sta Bine,48.0,['Tzanca Uraganu'],2020-06-26,0.7879999999999999,0.951,-3.655,0.0,0.0414,0.0432,0.9620000000000001,142.01
420968,0xw8cNSvvLKfE2XnmUJCNj,Il bagno nella canapa,0.0,"['I Matti Delle Giuncaie', 'Erriquez']",2018-02-03,0.7140000000000001,0.95,-4.696000000000001,0.0,0.0851,0.233,0.9420000000000001,144.017
422625,1ZXA8CJDBARXZn5a8F8Ysc,El Coyote,19.0,['Ramon Ayala Y Sus Bravos Del Norte'],1979-05-05,0.894,0.9790000000000001,-1.6030000000000002,1.0,0.068,0.6629999999999999,0.996,102.876
422981,7iD983vodZI7xIfpR5nP4B,Juego De Amigos,22.0,['Luis Miguel'],1984-06-18,0.759,0.94,-4.52,1.0,0.0541,0.391,0.9670000000000001,128.124
423243,0ltshSUf5eUjMJObKeCm44,Cara O Cruz,25.0,['Flans'],1987-01-01,0.812,0.92,-4.268,0.0,0.0448,0.39799999999999996,0.9670000000000001,115.531
423334,1DzEPtqVgNL85O0mwtOAk4,Criminales Sudamericanos,26.0,['Los Intocables'],1988-02-06,0.7140000000000001,0.972,-4.149,0.0,0.0361,0.00725,0.9329999999999999,98.191
423427,06tUkWdUfcF0Cda5Hm0Cdu,Todos Quieren Bailar Conmigo,26.0,['Fandango'],1989-01-01,0.82,0.903,-4.551,1.0,0.0365,0.0556,0.914,118.47200000000001
424051,1KAMkChgw4x95qvrBR9bhz,Vaquero Norteño,31.0,['Mexicano'],1993-02-18,0.8690000000000001,0.922,-4.1739999999999995,1.0,0.0581,0.722,0.976,140.065
424727,6MtyfxpZm8lqGbWusvJtsI,"You're My Heart, You're My Soul '98",42.0,['Modern Talking'],1998-03-01,0.7559999999999999,0.937,-4.106,0.0,0.0381,0.00489,0.9670000000000001,119.323
425626,4lFWOpDoGH8OSqMgKJ32qD,Tu Y Yo,40.0,['Thalia'],2002-05-21,0.7609999999999999,0.961,-1.436,0.0,0.0392,0.192,0.976,136.001
