,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
173495,1P4vSeSt2Ap8TIpOvQhMVz,4 käskyä,31,261653,0,['Turmion Kätilöt'],['76t3VPzCEYAlrZhVAY7yjg'],2004-01-01,0.42200000000000004,0.982,11,-4.7330000000000005,0,0.0414,0.00214,0.12300000000000001,0.406,0.28300000000000003,154.974,4
173541,4JhlWABoffwIe4biDhnwoK,Soldiers Of The Wastelands,53,587160,0,['DragonForce'],['2pH3wEn4eYlMMIIQyKPbVR'],2004-01-01,0.16399999999999998,0.955,11,-6.34,0,0.125,5.3299999999999995e-05,0.0018899999999999998,0.071,0.146,199.955,4
173564,3LPVfzrc9G8EOQ00nTgvKL,Starchild,39,474667,0,['Wintersun'],['6ui6SwChan7c1KYBQCqGKV'],2004-09-13,0.23399999999999999,0.865,9,-6.268,0,0.0649,2.12e-06,0.48,0.152,0.273,186.892,3
173615,4aOUcByFqMhdnMWZqUkogv,Planet Hell,45,278760,0,['Nightwish'],['2NPduAUeLVsfIauhRwuft1'],2004-06-07,0.47600000000000003,0.862,10,-5.936,0,0.0544,2.44e-05,0.0288,0.121,0.39,145.975,4
173636,4MmI8lN0Jb9fd347XRbVcn,Queen Of Entity,24,231133,0,['Diablo'],['52krZkLn1qitIAHIeoji07'],2004-01-01,0.348,0.8540000000000001,6,-6.396,0,0.0452,8.04e-06,0.536,0.337,0.35700000000000004,159.916,3
173657,5PLPeX9yiG1ZE97IvdDD3o,Not Listening,53,189826,1,['Papa Roach'],['4RddZ3iHvSpGV4dvATac9X'],2004-01-01,0.382,0.961,3,-3.322,0,0.0903,0.0156,0.0,0.121,0.39299999999999996,164.106,4
173788,44mommx98x2Dh3Ud9fdbym,When the Lights Are Down,53,221467,0,['Kamelot'],['7gTbq5nTZGQIUgjEGXQpOS'],2005-03-15,0.303,0.9390000000000001,10,-6.377000000000001,0,0.0671,5.550000000000001e-05,0.0128,0.10800000000000001,0.369,169.97,4
173817,4MVJvkKhoeLPH3BcssmVpC,Love?,52,293347,1,['Strapping Young Lad'],['457qPvtiBTIl6LR4dZiKZy'],2005,0.41200000000000003,0.9640000000000001,6,-7.557,0,0.16899999999999998,1.84e-06,0.146,0.502,0.23199999999999998,142.536,3
173842,2UHsGTwOU7P3vFo6bQytlX,Tears Don't Fall,48,348387,1,['Bullet For My Valentine'],['7iWiAD5LLKyiox2grgfmUT'],2005-09-01,0.212,0.9259999999999999,7,-3.378,0,0.14,0.000725,4.83e-06,0.081,0.262,162.10299999999998,4
173868,1iyTXK1OXWZylkRiNZLZTa,Love Message - Original Radio Cut,41,213949,0,"['Klubbingman', 'Trixi Delga']","['7aLdm3fTrtk2XiP0GJeFHl', '2QqLwdnAAtawac6f423LaG']",2005-10-21,0.512,0.995,9,-5.374,0,0.0437,0.013000000000000001,0.00648,0.419,0.28800000000000003,140.047,4
173874,6IAJY5p5VBceDj3oHXZU4M,Turn to You,36,247693,0,['Wig Wam'],['5EzPaejJ1QA4wkTLV37e60'],2005,0.52,0.9279999999999999,4,-3.177,0,0.0531,0.18,0.000362,0.349,0.389,144.988,4
173886,70FVWHHwJD0OY63OG4oqX9,Väkivaltakunta,25,186656,0,['Stam1na'],['41nB823nb3wxEI25UeGHqG'],2005-01-10,0.40299999999999997,0.855,0,-7.222,0,0.0565,4.84e-05,0.963,0.32299999999999995,0.349,165.05599999999998,4
173995,3CCvUPGqLoDlueWUPbiSPB,Come Clarity,43,255653,0,['In Flames'],['57ylwQTnFnIhJh4nu4rxCs'],2006,0.36200000000000004,0.941,10,-4.563,0,0.11800000000000001,0.000951,0.303,0.134,0.0998,149.66899999999998,4
174007,46FJ0EpDUslC5jKSZd4cml,Viisi laukausta päähän,33,233064,0,['Stam1na'],['41nB823nb3wxEI25UeGHqG'],2006,0.406,0.95,11,-6.558,0,0.0688,0.0005740000000000001,0.00059,0.278,0.34,179.96099999999998,4
174096,2rs04L7Hccr9llUtBsHth7,Viisi laukausta päähän,27,231147,0,['Stam1na'],['41nB823nb3wxEI25UeGHqG'],2006-01-10,0.41,0.9690000000000001,11,-4.355,0,0.0755,0.00043200000000000004,0.00011499999999999999,0.23600000000000002,0.382,179.94,4
174150,2fFdjMCVUnIBU1jiKLBIKH,Worth Dying For,52,200000,0,['Rise Against'],['6Wr3hh341P84m3EI8qdn9O'],2006-01-01,0.212,0.986,1,-3.7880000000000003,0,0.226,0.000129,2.62e-05,0.34299999999999997,0.35700000000000004,172.295,4
174306,1GJILKDJzPmbK1wk8IdDW4,Marras,33,240053,0,['Mokoma'],['2LBteY4vnSD2zKwAgzOijB'],2007-11-28,0.441,0.9259999999999999,6,-4.533,0,0.0409,0.000151,2.26e-05,0.5589999999999999,0.395,144.018,4
174330,1QQPdR1BYLoZyYe8C8XW9C,Blow,50,251453,1,['Atreyu'],['3LkSiHbjqOHCKCqBfEZOTv'],2007-07-23,0.525,0.981,5,-3.654,0,0.142,0.00421,6.29e-06,0.0531,0.273,154.938,4
174340,7lYrz70DntWR7o8Sqfz0Ok,The Sound Of Truth,57,260787,0,['As I Lay Dying'],['2vd2HnNh4pdYa9gDVHFjEu'],2007-08-21,0.368,0.981,2,-4.084,0,0.12,2.02e-05,0.00549,0.129,0.27699999999999997,165.018,4
174366,5iafDaZllVA8NXPr7ciK1C,Slam,54,344973,0,['Pendulum'],['7MqnCTCAX6SsIYYdJCQj9B'],2007-05-19,0.428,0.982,10,-4.104,0,0.0477,3.04e-05,0.8220000000000001,0.322,0.3,173.998,4
174384,3G1SVODcssMmS5YM5G3tun,Pretty Rave Girl,56,363429,0,['S3RL'],['11aa081aKYUzmeFm0yHdT2'],2007,0.429,0.988,4,-5.2410000000000005,0,0.14,0.00747,0.0486,0.16899999999999998,0.312,175.019,4
174422,1Mju1koP7vTo5llp8r2tGc,Hyperdrive!,49,227920,0,['Devin Townsend'],['6uejjWIOshliv2Ho0OJAQN'],2007-05-18,0.46299999999999997,0.9790000000000001,7,-4.7860000000000005,0,0.11,0.00093,0.818,0.693,0.207,156.004,4
174435,1JEbu4sbfwNnjetAaaYGmU,The Serpentine Offering,46,309213,0,['Dimmu Borgir'],['6e8ISIsI7UQZPyEorefAhK'],2007-04-27,0.135,0.9640000000000001,7,-3.492,0,0.113,3.18e-05,0.0297,0.0731,0.0799,154.486,3
174440,2opOzWbmTURCchQDDbWEpL,Boten Anna - Radio edit,40,207067,0,['Basshunter'],['37DdwREpvvQHmGLFEZ4h0Q'],2007-02-02,0.46399999999999997,0.971,9,-5.546,0,0.26,0.0635,0.00010800000000000001,0.073,0.265,140.179,4
174449,2pZXlPFnqc1uqEKFE7SjwQ,Hold Your Colour,53,328480,0,['Pendulum'],['7MqnCTCAX6SsIYYdJCQj9B'],2007-05-19,0.43,0.889,5,-4.821000000000001,0,0.0374,0.0014199999999999998,0.218,0.397,0.18,173.96400000000003,4
174487,1uo6IzolNNLFNpyQGDZwJ5,Frozen,45,268373,0,['Within Temptation'],['3hE8S8ohRErocpkY7uJW4a'],2007-03-09,0.395,0.8909999999999999,1,-4.503,0,0.0605,0.0351,1.0199999999999999e-05,0.1,0.14,143.865,4
174525,3N9huFk2IceMSlKoZLaUsv,Boten Anna - Radio edit,54,207067,0,['Basshunter'],['37DdwREpvvQHmGLFEZ4h0Q'],2008-01-15,0.46399999999999997,0.971,9,-5.546,0,0.26,0.0635,0.00010800000000000001,0.073,0.265,140.179,4
174675,1TRr8Pp2uOqL24fMHpJyV3,Sound of Madness,43,233987,0,['Shinedown'],['70BYFdaZbEKbeauJ670ysI'],2008-06-23,0.32799999999999996,0.9390000000000001,2,-1.6540000000000001,0,0.0423,4.93e-05,0.0065,0.337,0.32899999999999996,185.97099999999998,4
174679,2ZmQeF2erFIl3UOfTaGwhH,The Mirror's Truth,46,179720,0,['In Flames'],['57ylwQTnFnIhJh4nu4rxCs'],2008-04-04,0.42,0.976,10,-3.285,0,0.0882,8.13e-05,0.188,0.1,0.295,180.033,4
