,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
81407,09QfIIP4NUx4A3thmovb2o,Perfecta,69,225413,1,['Miranda!'],['2eEmsgWmUFMbtU7agJpnjY'],2008-04-01,0.648,0.727,0,-5.45,1,0.0361,0.17800000000000002,0.0,0.335,0.8390000000000001,169.94099999999997,4
81553,0z0JSkE5Nw3i3nin3BBSuG,Sunshine Reggae,65,257667,0,['Laid Back'],['2OLmN3LLWtLF7zerL4VdaX'],2008-10-06,0.7040000000000001,0.79,8,-5.756,1,0.0432,0.10099999999999999,0.00657,0.0769,0.9329999999999999,167.81599999999997,4
81779,0mQRgVdhDiEsFVjJdTQBat,Amiga,61,255213,0,['Maelo Ruiz'],['3HyrDGPLI0c9Rd8luuO0zw'],2008,0.6809999999999999,0.818,7,-8.565,1,0.0696,0.52,0.0,0.14400000000000002,0.825,172.34599999999998,4
81979,5YfqVqJwjxiyhxvofbCnHp,Conteo Regresivo - Salsa Version,59,266787,0,['Gilberto Santa Rosa'],['27vNK840zYq6IfDijHPsv1'],2008-07-21,0.777,0.72,8,-6.162000000000001,1,0.0803,0.778,0.0,0.069,0.96,163.905,4
82556,3UYYwbchCP47jl2Q9tAhMc,Es Por Ti,63,215680,0,['Inspector'],['4OiCK9NnTWhakDIG57uBUA'],2009-06-01,0.619,0.924,11,-4.908,1,0.075,0.0152,1.59e-06,0.284,0.8009999999999999,173.924,4
83212,1SssFw74DdHVjRa6ADggdD,Sweat (A La La La La Long),72,227067,0,['Inner Circle'],['5os0Ltvz8Q8BvXOPOd1frx'],2010-12-14,0.787,0.728,0,-7.705,1,0.218,0.0124,0.0,0.157,0.94,173.02599999999998,4
83460,3WU2blK7YBcugEEU9CATvF,No Games,65,188200,0,['Serani'],['22099GssG7Ood0d5UIh2wo'],2010-10-27,0.741,0.79,2,-5.056,1,0.284,0.000755,0.0,0.0345,0.8059999999999999,185.77900000000002,4
83950,1VkNLfYxoS7Uc80xvt1xBK,Games People Play,60,208230,0,['Inner Circle'],['5os0Ltvz8Q8BvXOPOd1frx'],2010-12-14,0.73,0.892,9,-5.297999999999999,1,0.17,0.0801,0.0,0.32299999999999995,0.9520000000000001,170.59400000000002,4
84328,7MB22jLCA12Ev7Jjp3e1aU,Bullet,68,197813,1,['Hollywood Undead'],['0CEFCo8288kQU7mJi25s6E'],2011,0.6809999999999999,0.833,4,-4.334,1,0.121,0.179,0.0,0.0677,0.889,184.975,4
84378,5PEleSkK4p4E1sx3x7cOLt,I Just Had Sex,67,166560,1,"['The Lonely Island', 'Akon']","['1f5GqyOPo0CkotzzRwviBu', '0z4gvV4rjIZ9wHck67ucSV']",2011-01-01,0.615,0.8109999999999999,6,-4.316,1,0.14400000000000002,0.0188,0.0,0.196,0.8079999999999999,167.995,4
84654,4eDjNcAyIuJFhQ31Fvvoc1,"Sexo, Sudor y Calor",63,250227,0,"['J Alvarez', 'Ñejo & Dalmata']","['6XFITTl7cFTdopDY3lUdlY', '1ykothWH0xl8drRyJWuw7I']",2011,0.743,0.8909999999999999,0,-4.696000000000001,1,0.0461,0.192,0.0,0.0859,0.9620000000000001,167.946,4
85398,027NtsXW0vpDFhzxsJKmTL,Mirenla,67,256191,0,['Ciro y los Persas'],['2Eo4Yaukt9d6dnZrY5hQKi'],2012-11-19,0.632,0.7170000000000001,2,-6.9239999999999995,1,0.0272,0.0253,0.000661,0.191,0.8320000000000001,161.011,4
85466,2L6hCTpUlR2p7Su3hiSB0s,Einmal um die Welt,66,142463,0,['Cro'],['3utZ2yeQk0Z3BCOBWP7Vlu'],2012-07-06,0.726,0.9,9,-4.1339999999999995,1,0.0401,0.133,0.0,0.145,0.973,160.128,4
85488,0CYoeBgcZEPjiRhwtxGDTR,Me Estoy Enamorando,66,243253,0,['Inspector'],['4OiCK9NnTWhakDIG57uBUA'],2012-12-18,0.6709999999999999,0.927,10,-3.8680000000000003,1,0.0564,0.0266,0.00020899999999999998,0.0951,0.946,163.945,4
87040,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,79,219200,0,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],2014-01-01,0.647,0.8,7,-5.3839999999999995,1,0.165,0.0647,0.0,0.33399999999999996,0.9420000000000001,160.078,4
87293,228ExGBaOYwzsAGotWXaqy,Qué Tal Si Eres Tu,69,178973,0,['Los Tigres Del Norte'],['3hYtANQYrE6pd2PbtEyTIy'],2014-09-16,0.618,0.8440000000000001,2,-4.377,1,0.10800000000000001,0.19399999999999998,0.0,0.341,0.968,187.642,4
